source	line	reference	exists_worktree	tracked_main	tracked_lc1	classification	exists_canonical
docs/GRM_SCOUT_2026-09-08.md	45	../scripts/grm_wc1_results.py	True	False	True	tracked-new-in-lc1	True
docs/GRM_SCOUT_2026-09-08.md	45	../scripts/grm_wc1_results.py	True	False	True	tracked-new-in-lc1	True
docs/GRM_SCOUT_2026-09-08.md	62	../core/grm_demand.py	True	False	True	tracked-new-in-lc1	True
docs/GRM_SCOUT_2026-09-08.md	68	/mnt/Shared/APA_SP3_Model_Test_Report_2026-09-07.md	True	False	False	absolute-external	True
docs/GRM_SCOUT_2026-09-08.md	68	/mnt/Shared/APA_SP4G_Gemma4_Model_Test_Report_2026-09-08.md	True	False	False	absolute-external	True
docs/GRM_SCOUT_2026-09-08.md	68	/mnt/Shared/APA_SP5_GPTOSS20B_Model_Test_Report_2026-09-08.md	True	False	False	absolute-external	True
docs/GRM_SCOUT_2026-09-08.md	154	/mnt/Shared/APA_SP_Prior_Art_Comparison_2026-09-06.md	True	False	False	absolute-external	True
docs/GRM_SCOUT_2026-09-08.md	161	core/config	False	False	False	untracked-or-dynamic	False
docs/GRM_SUPERSESSION_LEDGER.md	16	artifacts/grm_supersession/	True	False	False	untracked-or-dynamic	True
docs/GRM_SUPERSESSION_LEDGER.md	102	artifacts/grm_supersession/diag_resolve_only.jsonl	True	True	True	tracked-both	True
docs/GRM_SUPERSESSION_LEDGER.md	108	artifacts/grm_supersession/g0_baseline.jsonl	True	True	True	tracked-both	True
docs/GRM_SUPERSESSION_LEDGER.md	116	artifacts/grm_supersession/l2_default_on_registration_20260830.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SUPERSESSION_LEDGER.md	136	scripts/grm_sup_l2_default_on_gate.py	True	False	True	tracked-new-in-lc1	True
docs/GRM_SUPERSESSION_LEDGER.md	137	/tmp/forge-gpu.lock	True	False	False	absolute-external	True
docs/GRM_SUPERSESSION_LEDGER.md	149	artifacts/grm_adm1/run_20260830T093538Z_3defaa/decisiveness_rule_c304609f81475bd2.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SUPERSESSION_LEDGER.md	170	artifacts/grm_cmc1/live_arms_20260830T092447Z_4056005/g0_95d6dcb605db1bf0.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SUPERSESSION_LEDGER.md	174	artifacts/grm_cmc2/live_sweep_20260830T170021Z_4124360/adjudication_ba6821ccf299ac17.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SUPERSESSION_LEDGER.md	178	artifacts/grm_adm1/adm1_3_prod_run_20260830T161236Z_3eaccb/dual_frame_adjudication_c83a45c60e9fe50b.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SUPERSESSION_LEDGER.md	196	artifacts/grm_adm2/default_on_20260831T150306599577Z_2/registered_acceptance.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SUPERSESSION_LEDGER.md	253	/mnt/ForgeRealm/GraftRepository	True	False	False	absolute-external	True
docs/GRM_SUPERSESSION_LEDGER.md	253	scripts/grm_adm2_default_on_gate.py	True	False	True	tracked-new-in-lc1	True
docs/GRM_SUPERSESSION_LEDGER.md	254	/tmp/forge-gpu.lock	True	False	False	absolute-external	True
docs/LSR_ADDENDUM_1.md	91	scripts/grm_probe_ladder.py:115	False	False	False	untracked-or-dynamic	False
docs/LSR_LIVED_SERVING_PLAN.md	9	artifacts/grm_det1/.../det1_11/census/	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	12	core/qwen38_tc.py:165-196	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	14	core/qwen38_tc.py:830-851	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	17	core/qwen38_tc.py:35-42	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	20	core/qwen38_tc.py:460-472	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	22	core/qwen38_tc.py:145-159	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	24	core/qwen35_tc.py:444-454	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	26	core/qwen38_tc.py:858-862	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	27	core/qwen38_tc.py:1230-1239	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	29	core/qwen38_tc.py:865-878	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	31	core/qwen38_tc.py:1129-1133	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	33	core/qwen38_tc.py:265-332	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	35	core/qwen38_tc.py:1244-1249	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	38	core/qwen38_tc.py:344-370	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	40	core/qwen38_tc.py:1248-1250	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	40	core/qwen38_tc.py:1267-1282	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	42	core/qwen35_tc.py:456-482	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	45	core/qwen38_tc.py:888-912	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	47	core/qwen38_tc.py:888-895	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	48	core/qwen38_tc.py:914-936	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	50	core/qwen38_tc.py:406-416	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	50	core/qwen38_tc.py:453-458	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	53	core/qwen38_tc.py:392-435	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	55	core/qwen38_tc.py:1252-1261	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	57	core/qwen38_tc.py:939-944	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	58	core/qwen38_tc.py:743-805	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	60	core/qwen38_tc.py:35-42	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	63	scripts/qwen38_generate.py:48-115	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	66	core/qwen38_tc.py:45-51	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	66	core/qwen38_tc.py:1251-1264	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	68	core/qwen38_tc.py:1286-1293	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	68	scripts/qwen38_generate.py:230-257	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	75	core/qwen38_tc.py:444-458	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	77	core/qwen38_tc.py:145-159	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	81	core/qwen38_tc.py:295-322	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	82	scripts/qwen38_generate.py:159-176	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	90	scripts/qwen38_longctx_gate.py:30-37	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	91	scripts/qwen38_longctx_gate.py:211-215	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	96	scripts/qwen38_longctx_gate.py:122-157	False	False	False	untracked-or-dynamic	False
docs/QWEN38_LC1_REPORT.md	98	scripts/qwen38_longctx_gate.py:253-261	False	False	False	untracked-or-dynamic	False
orders/GLC_P0D_FORMAT_DISCRIMINATOR.md	5	/mnt/ForgeRealm/GraftRepository	True	False	False	absolute-external	True
orders/GLC_P0D_FORMAT_DISCRIMINATOR.md	8	scripts/glc_p0d_	False	False	False	untracked-or-dynamic	False
orders/GLC_P0D_FORMAT_DISCRIMINATOR.md	8	artifacts/glc_p0d/	False	False	False	untracked-or-dynamic	True
orders/GLC_P0D_FORMAT_DISCRIMINATOR.md	13	docs/GLC_LONG_CONTEXT_PLAN.md	True	False	True	tracked-new-in-lc1	True
orders/GLC_P0D_FORMAT_DISCRIMINATOR.md	14	docs/GLC_LONG_CONTEXT_ADDENDUM_1.md	True	False	True	tracked-new-in-lc1	True
orders/GLC_P0D_FORMAT_DISCRIMINATOR.md	17	artifacts/glc_p0/hf_reference/	False	False	False	untracked-or-dynamic	True
orders/GLC_P0D_FORMAT_DISCRIMINATOR.md	26	artifacts/moe_e1_3b/controls.npz	False	False	False	untracked-or-dynamic	True
orders/GLC_P0_GROUND_TRUTH.md	5	/mnt/ForgeRealm/GraftRepository	True	False	False	absolute-external	True
orders/GLC_P0_GROUND_TRUTH.md	7	/mnt/ForgeRealm/Project-Tensor	True	False	False	absolute-external	True
orders/GLC_P0_GROUND_TRUTH.md	11	scripts/glc_p0_	False	False	False	untracked-or-dynamic	False
orders/GLC_P0_GROUND_TRUTH.md	11	artifacts/glc_p0/	False	False	False	untracked-or-dynamic	True
orders/GLC_P0_GROUND_TRUTH.md	16	docs/GLC_LONG_CONTEXT_PLAN.md	True	False	True	tracked-new-in-lc1	True
orders/GLC_P0_GROUND_TRUTH.md	19	artifacts/moe_e1_3b/	False	False	False	untracked-or-dynamic	True
orders/GLC_P0_GROUND_TRUTH.md	44	core/gpt_oss20b_tc.py	True	True	True	tracked-both	True
orders/GLC_P0_GROUND_TRUTH.md	63	/tmp/forge-gpu.lock	True	False	False	absolute-external	True
orders/GRM_ADM1_1_EVICT_ROWS.md	3	/mnt/ForgeRealm/GraftRepository	True	False	False	absolute-external	True
orders/GRM_ADM1_2_PROBE_SKEW.md	3	/mnt/ForgeRealm/GraftRepository	True	False	False	absolute-external	True
orders/GRM_ADM1_3_DUAL_FRAME.md	3	/mnt/ForgeRealm/GraftRepository	True	False	False	absolute-external	True
orders/GRM_ADM1_K_POLICY.md	5	/mnt/ForgeRealm/GraftRepository	True	False	False	absolute-external	True
orders/GRM_ADM1_K_POLICY.md	9	artifacts/grm_adm1/	False	False	False	untracked-or-dynamic	True
orders/GRM_ADM1_K_POLICY.md	9	scripts/grm_adm1_	False	False	False	untracked-or-dynamic	False
orders/GRM_ADM2_ADEC_DEFAULT_ON.md	5	/mnt/ForgeRealm/GraftRepository	True	False	False	absolute-external	True
orders/GRM_C3_DNGH_DECOY_CALIBRATION.md	3	docs/GRM_SCOUT_2026-09-08.md	True	False	True	tracked-new-in-lc1	True
orders/GRM_C3_DNGH_DECOY_CALIBRATION.md	6	config/grm_demand_registered.json	True	False	True	tracked-new-in-lc1	True
orders/GRM_C3_DNGH_DECOY_CALIBRATION.md	13	/mnt/ForgeRealm/wt/grm-c3	True	False	False	absolute-external	True
orders/GRM_C3_DNGH_DECOY_CALIBRATION.md	23	scripts/grm_det1_5_workers.py	True	False	True	tracked-new-in-lc1	True
orders/GRM_C3_DNGH_DECOY_CALIBRATION.md	23	scripts/grm_sc2_calibration.py	True	False	True	tracked-new-in-lc1	True
orders/GRM_C3_DNGH_DECOY_CALIBRATION.md	24	scripts/grm_sc1_2_session.py	True	False	True	tracked-new-in-lc1	True
orders/GRM_C3_DNGH_DECOY_CALIBRATION.md	60	/tmp/forge-gpu.lock	True	False	False	absolute-external	True
orders/GRM_C4_WIDTH_VS_CHUNKING.md	3	docs/GRM_SCOUT_2026-09-08.md	True	False	True	tracked-new-in-lc1	True
orders/GRM_C4_WIDTH_VS_CHUNKING.md	11	/mnt/ForgeRealm/wt/grm-c4	True	False	False	absolute-external	True
orders/GRM_C4_WIDTH_VS_CHUNKING.md	18	core/graft_repository.py	True	True	True	tracked-both	True
orders/GRM_C4_WIDTH_VS_CHUNKING.md	19	core/grm_three_pass.py	True	True	True	tracked-both	True
orders/GRM_C4_WIDTH_VS_CHUNKING.md	22	scripts/grm_eb1_longhorizon_gpu.py	True	False	True	tracked-new-in-lc1	True
orders/GRM_C4_WIDTH_VS_CHUNKING.md	22	scripts/grm_wc1_sweep_gpu.py	True	False	True	tracked-new-in-lc1	True
orders/GRM_C4_WIDTH_VS_CHUNKING.md	26	artifacts/grm_wc1_opus/grm_wc1_results.json	False	False	False	untracked-or-dynamic	True
orders/GRM_C4_WIDTH_VS_CHUNKING.md	56	/tmp/forge-gpu.lock	True	False	False	absolute-external	True
orders/GRM_C5_T30_T33_GROUNDING.md	3	docs/GRM_SCOUT_2026-09-08.md	True	False	True	tracked-new-in-lc1	True
orders/GRM_C5_T30_T33_GROUNDING.md	13	/mnt/ForgeRealm/wt/grm-c5	True	False	False	absolute-external	True
orders/GRM_C5_T30_T33_GROUNDING.md	55	/tmp/forge-gpu.lock	True	False	False	absolute-external	True
orders/GRM_C6_LC1WIP_MAIN_REVIEW.md	3	docs/GRM_SCOUT_2026-09-08.md	True	False	True	tracked-new-in-lc1	True
orders/GRM_C6_LC1WIP_MAIN_REVIEW.md	8	/mnt/ForgeRealm/wt/grm-c6	True	False	False	absolute-external	True
orders/GRM_C6_LC1WIP_MAIN_REVIEW.md	16	docs/GRM_LC1WIP_MAIN_INTEGRATION_REVIEW_2026-09-08.md	False	False	False	untracked-or-dynamic	False
orders/GRM_C6_LC1WIP_MAIN_REVIEW.md	21	config/grm_live_registered_baselines.json	True	False	True	tracked-new-in-lc1	True
orders/GRM_C6_LC1WIP_MAIN_REVIEW.md	29	docs/paths	False	False	False	untracked-or-dynamic	False
orders/GRM_C6_LC1WIP_MAIN_REVIEW.md	48	/tmp/forge-gpu.lock	True	False	False	absolute-external	True
orders/GRM_CMC1_1_PER_FIXTURE.md	3	/mnt/ForgeRealm/GraftRepository	True	False	False	absolute-external	True
orders/GRM_CMC1_2_WITNESS_NUMERICS.md	3	/mnt/ForgeRealm/GraftRepository	True	False	False	absolute-external	True
orders/GRM_CMC1_2_WITNESS_NUMERICS.md	5	artifacts/grm_cmc1/live_arms_20260830T090717Z_4045881/	False	False	False	untracked-or-dynamic	True
